;fruits_veggies;daily_stress;places_visited;core_circle;supporting_others;social_network;achievement;donation;todo_completed;flow;daily_steps;live_vision;sleep_hours;lost_vacation;daily_shouting;personal_awards;time_for_passion;weekly_meditation;age;gender;healthy_bmi;quest_year;sc_social;sc_stress;sc_fulfilment;sc_health
0;3;2;2;5;0;5;2;0;6;4;5;0;7;5;5;4;0;5;36 to 50;Female;1;2015;28,57;49,78;36,22;57,01
1;2;3;4;3;8;10;5;2;5;2;5;5;8;2;2;3;2;6;36 to 50;Female;0;2015;50,31;41,28;39,23;50,71
2;2;3;3;4;4;10;3;2;2;2;4;5;8;10;2;4;8;3;36 to 50;Female;0;2015;40,02;54,36;54,32;40,58
3;3;3;10;3;10;7;2;5;3;5;5;0;5;7;5;5;2;0;51 or more;Female;0;2015;72,81;61,6;25,5;41,92
4;5;1;3;3;10;4;2;4;5;0;5;0;7;0;0;8;1;5;51 or more;Female;0;2015;62,92;22,03;13,58;58,51
5;3;2;3;9;10;10;2;3;6;1;7;10;8;0;2;10;8;3;51 or more;Female;1;2015;69,74;33,44;47,53;48,25
6;4;2;10;6;10;10;3;5;8;8;7;5;7;10;0;10;8;10;51 or more;Male;0;2015;66,4;44,77;63,31;64,44
7;3;4;5;3;5;7;4;0;8;2;8;10;6;0;2;8;2;2;21 to 35;Female;1;2015;50,76;51,24;42,53;53,81
8;5;3;6;4;3;3;5;4;10;2;1;5;10;0;2;10;3;10;21 to 35;Female;1;2015;44,39;27,07;37,66;78,37
9;4;4;2;6;10;10;0;4;3;2;3;0;6;0;0;3;8;1;51 or more;Female;0;2015;70,49;40,45;27,31;34,46
10;2;4;7;7;1;1;3;0;2;2;7;4;8;7;3;3;0;6;36 to 50;Female;0;2015;29,7;51,85;31,8;61,79
11;1;4;3;8;0;2;1;0;2;1;8;2;7;7;1;4;1;7;21 to 35;Male;1;2015;31,01;47,63;29,52;52,27
12;2;2;10;5;2;8;3;4;7;1;6;10;8;0;0;5;2;7;21 to 35;Male;0;2015;51,83;21,49;36,39;60,4
13;5;3;0;3;6;6;6;3;8;7;7;2;6;0;3;5;6;5;36 to 50;Female;1;2015;46,09;52,19;54,51;59,61
14;3;3;2;3;7;5;3;2;8;0;2;5;8;3;2;4;5;4;21 to 35;Female;1;2015;42,52;37,57;40,98;48,92
15;3;3;5;4;10;10;2;5;7;2;8;10;6;1;2;8;3;10;51 or more;Female;1;2015;68,67;43,11;39,27;59,48
16;4;2;10;4;6;10;4;0;8;2;1;1;8;1;1;3;3;3;21 to 35;Male;1;2015;51,6;27,48;31,59;55,42
17;4;2;10;10;5;10;0;1;7;1;10;2;8;0;3;4;8;6;21 to 35;Male;1;2015;54,82;36,48;32,39;75,57
18;5;3;10;7;10;5;6;5;6;2;8;10;9;0;7;5;4;7;36 to 50;Female;1;2015;62,52;50,15;38,41;82,39
19;3;1;6;10;10;6;3;5;8;4;1;5;8;0;0;5;1;2;36 to 50;Male;0;2015;73,83;10,5;32,93;38,35
20;2;4;3;8;6;5;1;2;8;1;4;6;4;0;3;3;2;5;21 to 35;Male;1;2015;59,3;43,55;30,42;37,25
21;3;5;5;4;5;3;2;5;10;6;3;3;7;5;7;10;10;10;21 to 35;Female;0;2015;46,75;65,89;58,79;64,67
22;5;2;8;6;10;10;6;4;4;4;3;3;7;1;2;10;6;8;36 to 50;Male;0;2015;74,62;34,9;39,06;58,85
23;2;2;6;10;10;10;10;5;10;6;7;4;7;0;1;10;5;7;36 to 50;Male;1;2015;83,07;30,09;54,13;49,89
24;2;4;6;10;5;5;6;4;6;1;7;10;6;0;3;1;3;10;36 to 50;Female;0;2015;57,04;41,15;40,39;56,32
25;1;5;1;3;6;5;3;5;2;2;8;1;7;0;6;5;1;1;21 to 35;Male;1;2015;57,89;63,91;20,01;44,35
26;1;4;1;2;5;3;1;5;1;5;8;1;7;0;4;2;1;1;21 to 35;Male;1;2015;44,88;52,81;26,98;42,22
27;2;4;10;3;10;7;8;3;6;0;5;5;7;0;1;10;2;2;21 to 35;Female;1;2015;77,3;39,82;25,7;47,87
28;3;4;6;4;7;10;3;3;4;1;10;5;6;0;3;7;2;8;36 to 50;Female;1;2015;64,01;53,91;25,18;64,23
29;4;2;10;3;1;2;3;3;7;2;4;1;7;0;3;10;1;7;20 or younger;Female;1;2015;48,61;31,13;21,07;70,89
30;5;3;10;3;7;5;3;2;7;2;10;10;7;0;0;10;5;10;21 to 35;Male;1;2015;52,15;37,23;41,5;82,84
31;3;1;3;5;2;10;4;2;5;4;3;10;8;0;1;10;4;1;36 to 50;Female;1;2015;50,49;26,18;52,96;40,84
32;0;5;0;3;3;8;1;5;4;4;1;1;6;10;10;3;2;1;36 to 50;Female;0;2015;47,88;84,75;38,72;25,26
33;1;3;10;3;2;3;2;0;2;2;5;2;8;0;0;4;3;7;51 or more;Female;1;2015;32,59;25,56;29,13;56,9
34;4;2;10;6;10;8;10;2;10;2;10;5;7;0;3;10;4;10;21 to 35;Male;1;2015;69,06;40,11;42,92;79,63
35;3;3;0;2;0;5;0;5;3;1;2;0;6;0;6;2;2;10;21 to 35;Male;0;2015;35,97;46,17;20,81;54,79
36;2;3;7;4;10;8;10;5;5;5;2;10;6;0;3;10;6;10;51 or more;Female;1;2015;71,42;38,82;59,48;44,18
37;2;5;1;8;5;2;2;5;2;0;10;0;8;7;10;2;0;10;36 to 50;Female;0;2015;44,07;78,73;17,47;72,49
38;4;1;1;10;10;10;5;5;8;3;7;3;6;7;2;6;4;10;51 or more;Male;0;2015;70,37;40,18;45,32;54,75
39;5;3;6;6;10;7;3;5;8;5;3;4;9;0;3;6;6;10;51 or more;Female;1;2015;58,8;35,06;43,96;71,37
40;4;2;10;8;8;4;6;3;5;4;3;2;7;10;1;5;4;8;21 to 35;Female;1;2015;56,97;38,53;43,23;57,53
41;4;3;10;8;10;3;2;3;0;0;3;0;5;0;2;4;0;2;51 or more;Female;0;2015;77,39;33,5;0,01;43,19
42;2;3;0;8;10;10;1;2;5;0;2;10;9;0;3;10;0;10;51 or more;Female;0;2015;61,57;31,15;33,14;48,55
43;3;2;4;1;1;10;3;2;7;5;7;2;7;4;3;3;5;8;21 to 35;Male;1;2015;30,35;48,61;51,74;63,95
44;2;3;3;10;3;4;0;4;7;1;8;1;8;0;3;2;2;3;36 to 50;Female;1;2015;51,57;35,43;21,01;55,41
45;3;5;10;2;9;10;5;5;10;1;10;10;5;10;7;7;2;2;36 to 50;Female;1;2015;73,73;88,34;40,0;60,19
46;5;3;10;10;10;6;4;5;7;4;10;2;6;5;1;8;4;10;51 or more;Female;1;2015;77,48;44,97;31,76;74,59
47;4;2;10;10;5;8;5;2;6;3;10;2;8;2;2;10;3;7;21 to 35;Female;0;2015;65,2;37,45;31,28;75,42
48;3;2;8;10;10;10;8;5;10;3;7;10;7;1;2;10;3;10;51 or more;Female;0;2015;81,87;31,8;48,18;61,49
49;2;3;3;10;10;10;5;1;7;4;2;6;8;0;2;4;1;1;36 to 50;Female;0;2015;66,51;32,95;41,83;32,91
50;4;3;6;3;10;10;5;4;4;6;8;3;7;0;4;4;5;9;21 to 35;Female;1;2015;58,2;51,43;44,0;67,28
51;3;5;8;9;5;10;4;2;8;4;10;2;8;10;4;3;3;5;21 to 35;Female;0;2015;54,23;72,87;42,03;68,67
52;1;2;4;6;1;10;4;0;5;1;5;1;6;0;1;8;1;2;36 to 50;Male;0;2015;55,41;31,79;27,14;36,23
53;5;2;3;6;4;9;3;2;5;3;6;3;8;0;3;2;3;5;51 or more;Female;1;2015;44,31;39,14;34,98;64,8
54;4;2;5;10;10;2;5;3;4;2;1;1;6;10;1;3;4;4;21 to 35;Female;0;2015;61,67;37,17;36,04;38,43
55;1;4;1;1;1;7;1;0;0;5;3;1;6;10;8;2;2;1;20 or younger;Female;1;2015;24,71;80,55;43,98;32,93
56;4;2;8;6;2;10;1;1;6;3;5;10;8;3;3;10;1;2;36 to 50;Female;0;2015;52,36;41,36;39,2;58,53
57;5;4;10;6;5;10;7;4;4;4;10;1;7;0;2;6;4;5;36 to 50;Male;1;2015;69,09;52,98;28,56;73,48
58;4;3;10;1;10;2;4;5;9;2;10;2;7;0;0;10;1;7;51 or more;Female;1;2015;66,38;34,88;20,14;77,41
59;0;5;0;2;1;2;0;5;0;0;1;0;10;0;2;1;0;0;21 to 35;Male;1;2015;35,36;36,44;11,75;33,99
60;0;5;0;2;1;2;1;5;1;0;1;0;10;0;2;1;0;0;21 to 35;Male;1;2015;35,81;36,52;13,64;34,59
61;4;3;1;7;5;8;5;3;7;3;8;3;7;10;1;3;9;4;21 to 35;Female;1;2015;45,59;57,09;58,58;54,02
62;5;2;4;5;4;4;2;1;4;4;6;3;7;8;3;4;8;8;21 to 35;Male;1;2015;29,23;50,67;53,58;67,02
63;1;1;10;2;1;5;1;0;5;4;8;1;6;5;0;4;1;7;21 to 35;Male;1;2015;31,41;30,33;35,73;56,44
64;2;5;6;4;10;0;10;3;5;1;2;1;9;0;4;10;1;10;36 to 50;Female;1;2015;58,54;42,6;26,72;62,77
65;3;3;6;8;7;6;6;2;8;4;5;3;6;4;7;5;4;8;21 to 35;Female;1;2015;55,38;57,12;46,09;58,74
66;3;3;6;8;7;6;6;2;8;4;5;3;6;4;7;5;4;8;21 to 35;Female;1;2015;55,38;57,12;46,09;58,74
67;2;1;3;3;2;4;1;5;5;2;10;1;7;0;1;5;3;10;21 to 35;Male;0;2015;39,91;25,77;29,24;66,03
68;3;1;1;1;1;3;1;1;0;0;6;0;7;2;2;3;1;1;51 or more;Female;1;2015;28,35;34,33;19,6;48,26
69;3;2;6;4;10;10;1;1;7;0;1;1;8;0;1;6;2;6;21 to 35;Female;0;2015;60,05;23,05;21,88;50,32
70;4;3;10;10;10;10;3;3;9;3;8;3;8;0;0;5;6;10;21 to 35;Male;1;2015;69,73;29,5;36,57;73,18
71;3;5;4;0;2;3;0;5;8;2;10;0;4;0;0;5;1;10;21 to 35;Female;1;2015;48,06;50,09;17,57;66,66
72;0;4;0;2;2;3;1;0;1;0;4;0;4;0;10;1;0;0;36 to 50;Female;0;2015;35,91;68,71;17,31;28,14
73;4;3;10;8;10;10;4;5;10;2;7;5;6;10;1;10;1;3;51 or more;Male;0;2015;87,3;52,3;31,06;54,64
74;5;1;10;4;2;2;0;1;10;1;4;0;8;10;2;4;5;10;51 or more;Female;1;2015;25,5;34,69;37,49;81,98
75;5;2;3;1;10;10;3;5;8;2;5;2;7;1;0;5;2;10;21 to 35;Female;1;2015;60,39;31,83;29,17;65,62
76;5;2;10;1;4;5;0;5;8;2;10;1;8;0;6;10;1;6;36 to 50;Female;1;2015;54,21;48,34;15,14;90,19
77;5;2;10;1;4;5;0;5;8;2;10;1;8;0;6;10;1;6;36 to 50;Female;1;2015;54,21;48,34;15,14;90,19
78;3;3;8;10;5;7;3;4;8;4;10;5;8;0;1;10;3;7;21 to 35;Female;1;2015;67,21;34,48;35,38;69,22
79;0;5;0;2;0;0;3;0;0;1;1;10;6;10;10;2;1;10;21 to 35;Male;0;2015;9,92;79,19;50,76;41,84
80;1;1;2;2;1;3;4;0;2;2;8;10;8;0;1;1;1;10;20 or younger;Male;1;2015;12,76;23,65;49,43;58,93
81;5;1;6;4;10;4;5;1;10;1;1;10;8;0;3;0;3;10;51 or more;Female;0;2015;37,45;21,46;48,22;68,02
82;0;5;0;2;0;0;3;0;0;1;1;10;6;10;10;2;1;10;21 to 35;Male;0;2015;9,92;79,19;50,76;41,84
